"date","continent_name","max_country_name","max_stringency_index","min_country_name","min_stringency_index"
"2020-04-01","Africa","Lesotho","907.3999999999999","South Africa","0.9176154992548434"
"2020-04-01","Asia","Timor-Leste","750","Iran","0.01953100699844479"
"2020-04-01","Europe","Monaco","25.655","Spain","0.010921194806146181"
"2020-04-01","North America","Belize","525","United States of America","0.003199142418831577"
"2020-04-01","Oceania","Tonga","935.1999999999999","Australia","0.19979983987189753"
"2020-04-01","South America","Suriname","249.55","Brazil","0.12185427370387672"
