"date","continent_name","max_country_name","max_stringency_index","min_country_name","min_stringency_index"
"2021-04-01","Africa","Mauritius","962.9999999999999","Tanzania","83.3"
"2021-04-01","Asia","Timor-Leste","851.9","Lao People's Democratic Republic","166.70000000000002"
"2021-04-01","Europe","Greece","879.5999999999999","Russian Federation","365.7"
"2021-04-01","Europe","Greece","879.5999999999999","Russian Federation","365.7"
"2021-04-01","North America","Honduras","824.0999999999999","Nicaragua","138.9"
"2021-04-01","Oceania","Papua New Guinea","620.4","Kiribati","222.2"
"2021-04-01","Oceania","Papua New Guinea","620.4","New Zealand","222.2"
"2021-04-01","Oceania","Papua New Guinea","620.4","Vanuatu","222.2"
"2021-04-01","South America","Venezuela","879.5999999999999","Bolivia","250"
