"date","continent_name","max_country_name","max_stringency_index","min_country_name","min_stringency_index"
"2022-04-01","Africa","Seychelles","564.8","Gabon","111.1"
"2022-04-01","Asia","Myanmar","787","Mongolia","0"
"2022-04-01","Europe","Ukraine","601.5999999999999","Andorra","83.3"
"2022-04-01","North America","Dominica","594.0999999999999","Dominican Republic","83.3"
"2022-04-01","North America","Dominica","594.0999999999999","Nicaragua","83.3"
"2022-04-01","Oceania","Vanuatu","851.9","Fiji","324.2"
"2022-04-01","South America","Suriname","506.49999999999994","Uruguay","148.2"
